,Chr X,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr Y,del(18)(p11),i(18)(q10),inv(9)(p12q13),del(5)(p14),i(X)(q10),del(X)(p22),del(X)(q21),del(X)(q22)
Chr X,160,0,0,0,0,2,1,0,0,13,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,4,1,0
Chr 1,0,67,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Chr 2,0,2,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Chr 3,0,1,0,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Chr 4,0,0,0,1,63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 5,2,0,0,0,4,179,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0
Chr 6,0,0,1,0,0,0,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chr 7,2,0,0,0,0,0,2,57,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Chr 8,1,0,0,0,0,0,0,0,60,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 9,17,0,1,0,0,1,1,4,3,210,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,14,0,0,3,0,0
Chr 10,0,0,0,0,0,0,0,1,0,1,66,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 11,1,0,1,0,0,0,0,0,1,0,0,62,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Chr 12,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 13,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Chr 14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,65,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chr 15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chr 16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,59,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0
Chr 17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Chr 18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,164,0,0,0,0,7,2,0,0,0,0,0,0,0
Chr 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,1,3,1,0,0,0,0,0,0,0,0
Chr 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,0,2,0,0,0,0,0,0,0,0,0
Chr 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,65,0,1,0,0,0,0,0,0,0,0
Chr 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,2,59,0,0,0,0,0,0,0,0,0
Chr Y,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,3,256,2,0,0,0,0,0,0,0
del(18)(p11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,3,59,0,0,0,0,0,0,0
i(18)(q10),1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,1,1
inv(9)(p12q13),4,0,0,1,0,0,0,1,0,13,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,144,0,0,1,1,3
del(5)(p14),0,0,1,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0
i(X)(q10),5,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49,0,0,1
del(X)(p22),11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0
del(X)(q21),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,2
del(X)(q22),3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27
