,Chr X,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr Y
Chr X,0.868421052631579,0.0,0.005263157894736842,0.0,0.0,0.015789473684210527,0.0,0.010526315789473684,0.0,0.08421052631578947,0.005263157894736842,0.0,0.0,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 1,0.0,0.9166666666666666,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 2,0.0,0.06944444444444445,0.875,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 3,0.029850746268656716,0.0,0.0,0.9552238805970149,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 4,0.0,0.014492753623188406,0.0,0.014492753623188406,0.927536231884058,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 5,0.010050251256281407,0.0,0.0,0.0,0.020100502512562814,0.9597989949748744,0.0,0.0,0.0,0.010050251256281407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 6,0.025974025974025976,0.0,0.0,0.03896103896103896,0.0,0.0,0.8831168831168831,0.03896103896103896,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 7,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.0,0.015873015873015872,0.9047619047619048,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 8,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8985507246376812,0.057971014492753624,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 9,0.04961832061068702,0.003816793893129771,0.0,0.0,0.0,0.011450381679389313,0.0,0.022900763358778626,0.03435114503816794,0.8702290076335878,0.0,0.003816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,0.003816793893129771,0.0,0.0,0.0,0.0,0.0
Chr 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.014285714285714285,0.9142857142857143,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
Chr 11,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.9305555555555556,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 12,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.013513513513513514,0.0,0.02702702702702703,0.8918918918918919,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.02702702702702703
Chr 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402985074626866,0.014925373134328358,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358
Chr 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.9393939393939394,0.030303030303030304,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
Chr 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.04411764705882353,0.9117647058823529,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 16,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.8888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.013888888888888888
Chr 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.9558823529411765,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
Chr 18,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.0,0.0,0.005747126436781609,0.0,0.0,0.0,0.005747126436781609,0.0,0.0,0.005747126436781609,0.9482758620689655,0.0,0.0,0.0,0.0,0.022988505747126436
Chr 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.012987012987012988,0.012987012987012988,0.0,0.012987012987012988,0.8701298701298701,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.03896103896103896
Chr 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chr 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.9402985074626866,0.029850746268656716,0.0
Chr 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.0,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.9014084507042254,0.0
Chr Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007380073800738007,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,0.014760147601476014,0.0,0.0,0.007380073800738007,0.007380073800738007,0.948339483394834
