,Chr X,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr Y
Chr X,0.8835978835978836,0.0,0.005291005291005291,0.005291005291005291,0.0,0.0,0.0,0.0,0.005291005291005291,0.08994708994708994,0.0,0.005291005291005291,0.005291005291005291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 1,0.0136986301369863,0.8904109589041096,0.0410958904109589,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0
Chr 2,0.0,0.04285714285714286,0.9142857142857143,0.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 3,0.0,0.0,0.0,0.9571428571428572,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0
Chr 4,0.0,0.0,0.0,0.0,0.8857142857142857,0.1,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 5,0.004975124378109453,0.0,0.0,0.0,0.029850746268656716,0.9601990049751243,0.0,0.0,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 6,0.014285714285714285,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.9285714285714286,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 7,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.8571428571428571,0.0,0.08571428571428572,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.8309859154929577,0.1267605633802817,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 9,0.06153846153846154,0.0,0.0038461538461538464,0.0,0.0,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.03076923076923077,0.8653846153846154,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538464,0.007692307692307693,0.0,0.0,0.0,0.0
