,Chr X,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr Y
Chr X,144,1,1,0,0,0,2,6,2,30,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Chr 1,1,63,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chr 2,0,9,57,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 3,0,0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 4,0,0,0,0,59,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 5,2,0,0,0,9,189,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 6,1,0,1,0,0,0,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 7,6,0,0,0,0,0,1,56,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chr 8,4,0,0,0,0,0,1,0,60,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Chr 9,36,0,1,0,0,1,1,6,6,200,4,1,1,0,0,0,3,0,0,0,0,0,0,0
Chr 10,0,0,0,0,0,1,0,0,5,4,59,0,0,0,0,0,0,1,0,0,0,0,0,0
Chr 11,0,0,0,0,0,0,0,1,0,2,1,65,1,0,0,0,0,0,0,0,0,0,0,0
Chr 12,0,0,0,0,0,2,0,0,0,0,0,0,65,1,0,0,0,1,0,0,0,0,0,0
Chr 13,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,4,0,0,0,0,0,0,0,3
Chr 14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,14,0,0,0,0,0,0,0,2
Chr 15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,47,1,0,1,0,0,0,0,3
Chr 16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,62,1,1,2,0,0,0,0
Chr 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1,0,0,0
Chr 18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,163,0,0,0,0,9
Chr 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,3,0
Chr 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
Chr 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,4,3
Chr 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,52,3
Chr Y,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,8,0,0,8,8,239
