,Chr X,Chr 1,Chr 2,Chr 3,Chr 4,Chr 5,Chr 6,Chr 7,Chr 8,Chr 9,Chr 10,Chr 11,Chr 12,Chr 13,Chr 14,Chr 15,Chr 16,Chr 17,Chr 18,Chr 19,Chr 20,Chr 21,Chr 22,Chr Y
Chr X,0.7422680412371134,0.005154639175257732,0.0,0.0,0.0,0.010309278350515464,0.005154639175257732,0.030927835051546393,0.020618556701030927,0.18556701030927836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 1,0.0136986301369863,0.863013698630137,0.1232876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 2,0.014705882352941176,0.10294117647058823,0.8382352941176471,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 3,0.0,0.0,0.014492753623188406,0.9855072463768116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 4,0.0,0.0,0.0,0.014492753623188406,0.855072463768116,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 5,0.0,0.0,0.0,0.0,0.04926108374384237,0.9310344827586207,0.0,0.0,0.0,0.0049261083743842365,0.0049261083743842365,0.0,0.009852216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 6,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.0,0.0,0.0,0.8904109589041096,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 7,0.0821917808219178,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0,0.0273972602739726,0.7671232876712328,0.0,0.0821917808219178,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 8,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.01282051282051282,0.7692307692307693,0.07692307692307693,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
Chr 9,0.1214574898785425,0.0,0.0,0.0,0.0,0.004048582995951417,0.0,0.024291497975708502,0.012145748987854251,0.8097165991902834,0.016194331983805668,0.008097165991902834,0.0,0.0,0.0,0.0,0.004048582995951417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.06060606060606061,0.8939393939393939,0.015151515151515152,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 11,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.9701492537313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 12,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,0.9558823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.8382352941176471,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
Chr 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.7142857142857143,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chr 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.2028985507246377,0.6811594202898551,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
Chr 16,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.8857142857142857,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0
Chr 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0
Chr 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.005780346820809248,0.0,0.9421965317919075,0.0,0.0,0.0,0.0,0.046242774566473986
Chr 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.9166666666666666,0.0,0.013888888888888888,0.041666666666666664,0.0
Chr 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.9859154929577465,0.0,0.0,0.0
Chr 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.15,0.1
