,chr_x,chr_01,chr_02,chr_03,chr_04,chr_05,chr_06,chr_07,chr_08,chr_09,chr_10,chr_11,chr_12,chr_13,chr_14,chr_15,chr_16,chr_17,chr_18,chr_19,chr_20,chr_21,chr_22,chr_y,chr_18_p11_deletion,chr_18_q10_isochromosome,chr_9_inversion,chr_5_p14_deletion,chr_x_isochromosome,chr_x_p22_cnv,chr_x_q21_cnv,chr_x_q22_deletion
chr_x,156,1,0,0,0,1,1,0,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,0,1,5,1,0
chr_01,0,64,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
chr_02,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chr_03,0,0,0,65,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
chr_04,0,0,0,0,64,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chr_05,2,0,2,0,4,169,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
chr_06,1,0,1,0,0,0,64,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chr_07,1,0,0,0,0,0,1,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
chr_08,2,0,0,0,0,0,0,0,60,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
chr_09,12,0,1,0,2,2,1,1,4,214,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,13,0,0,4,0,1
chr_10,1,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chr_11,0,0,0,0,0,0,0,0,0,0,0,63,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
chr_12,0,0,0,0,0,0,0,0,0,0,0,3,62,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chr_13,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
chr_14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,4,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0
chr_15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,61,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
chr_16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,59,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1
chr_17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,63,1,0,2,0,0,2,0,0,0,0,0,0,0,0
chr_18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,159,1,0,0,0,4,8,0,0,0,0,0,0,0
chr_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,4,1,0,0,0,0,0,0,0,0
chr_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,0,2,0,0,0,0,0,0,0,0,0
chr_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65,1,1,0,0,0,0,0,0,0,0
chr_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,1,58,3,0,0,0,0,0,0,0,0
chr_y,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,3,0,0,0,2,256,2,0,0,0,0,0,0,0
chr_18_p11_deletion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,5,54,0,0,0,0,0,0,0
chr_18_q10_isochromosome,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,4,0,0,0,0,2
chr_9_inversion,2,1,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,148,0,2,2,0,0
chr_5_p14_deletion,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0
chr_x_isochromosome,4,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,0,2,3
chr_x_p22_cnv,14,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
chr_x_q21_cnv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,1
chr_x_q22_deletion,1,0,0,0,0,1,0,0,1,4,1,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24
